Name,Position,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa
Nico Collins,WR,36554,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,33,60,446.0,1,0.0,0.0,637.0,131.0,22.0,-0.251644096514551,0,12.6066346886848,1.81268009625303,2.77184328281927,4.65931044235303,0.0,14,0.128205128205128,0.189526926509967,0.0880968392737054,0.343929233515666,0.145608880182827,0.0588235294117647,0.159420289855072,0.148387096774194,0.102216204797296,0.128251810028615,0.952991452991453
Chuba Hubbard,RB,36555,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,172,612.0,5,1.0,1.0,36.0,-23.9574401431892,0,25,37,174.0,1,0.0,0.0,14.0,160.0,8.0,-10.2269844976997,0,14.9031746031746,1.12602987481566,-0.00836358158441514,1.68319030511439,0.0,16,0.0646853146853147,0.00327485380116959,0.0912721049629207,0.0996478550689077,0.0514184397163121,0.0833333333333333,0.0487804878048781,0.0511363636363636,0.0673758865248227,0.0578014184397163,0.304195804195804
Brevin Jordan,TE,36556,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,20,28,178.0,3,0.0,0.0,159.0,99.0,10.0,5.78663257053661,0,14.6929022825882,0.888091477765391,0.94882151679063,1.99631227840153,0.0,8,0.104477611940299,0.0905982905982906,0.114055299539171,0.22919505038908,0.107423053711527,0.375,0.128205128205128,0.151162790697674,0.241211526855763,0.160938442969221,0.664179104477612
Elijah Mitchell,RB,36567,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,207,963.0,5,0.0,0.0,47.0,-15.4936853851866,0,19,20,137.0,1,0.0,0.0,-12.0,151.0,6.0,4.11007380124647,0,70.4702380952381,0.684026118808728,-0.0886070399056278,0.964014250279152,0.0,11,0.0643086816720257,-0.0047713717693837,0.108166189111748,0.0926459250925316,0.0484270060091905,0.0666666666666667,0.0487804878048781,0.0507246376811594,0.0575468363379286,0.0520749381406858,0.440514469453376
Gary Brightwell,RB,36569,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,4.0,0,0.0,0.0,0.0,0.150147082749754,0,1,1,6.0,0,0.0,0.0,1.0,5.0,0.0,-0.135463208309375,0,6.0,0.0277777777777778,0.00326797385620915,0.0439542483660131,0.0,2,0.0138888888888889,0.00183823529411765,0.0252525252525253,0.0223039215686274,0.0112570356472795,0.0,0.0,0.0,0.00562851782363977,0.00900562851782364,0.0833333333333333
Shi Smith,WR,36572,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,-3.0,0,0.0,0.0,0.0,-1.40088038891554,0,6,11,104.0,0,0.0,0.0,74.0,71.0,3.0,-2.51489595137537,0,1.43333333333333,0.303526033330195,0.191639754391482,0.58943687806933,0.0,5,0.0625,0.0561883067577828,0.147609147609148,0.138700645406226,0.12037037037037,0.0,0.0731707317073171,0.0714285714285714,0.0601851851851852,0.0962962962962963,0.590909090909091
Nate McCrary,RB,36582,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,-1.0,0,0.0,0.0,0.0,-0.725636424031109,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Waddle,WR,36613,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,2,3.0,1,0.0,0.0,1.0,1.02705890499055,0,104,140,1015.0,6,1.0,0.0,993.0,439.0,59.0,19.9534284437849,0,18.9846801040039,3.98272002762206,4.1045764644899,8.84728356657602,0.0,16,0.238095238095238,0.235308056872038,0.265738498789346,0.545389302640487,0.271390374331551,0.315789473684211,0.301020408163265,0.302325581395349,0.293589924007881,0.280270194202083,1.72619047619048
D'Wayne Eskridge,WR,36620,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,4,59.0,0,0.0,0.0,2.0,7.53554499096936,0,10,20,64.0,1,0.0,0.0,252.0,32.0,4.0,-2.85617491975122,0,3.8900462962963,0.674931298021281,0.809811501111779,1.57926499781017,0.0,8,0.0813008130081301,0.102983244789538,0.0415584415584416,0.204337815343826,0.0370799536500579,0.0625,0.05,0.0520833333333333,0.049789976825029,0.0421639629200464,0.260162601626016
Dyami Brown,WR,36626,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,-4.0,0,0.0,0.0,0.0,-1.22775111324154,0,12,25,165.0,0,0.0,0.0,381.0,34.0,6.0,-1.58332186387678,0,3.70132761327343,0.793863979158097,1.62119734569366,2.3256341107227,0.0,9,0.0847457627118644,0.174690508940853,0.0338645418326693,0.266871051220479,0.084140744518103,0.0,0.0645161290322581,0.0560747663551402,0.0420703722590515,0.0673125956144824,0.559322033898305
Dez Fitzpatrick,WR,36627,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,8,49.0,1,0.0,0.0,109.0,3.0,4.0,-4.21825127274496,0,1.36458333333333,0.202303143479614,0.331997818249208,0.535853187993867,0.0,3,0.08,0.155270655270655,0.0106761565836299,0.244216524216524,0.0779014308426073,0.25,0.114285714285714,0.128205128205128,0.163950715421304,0.112321144674086,0.49
John Bates,TE,36628,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,20,25,249.0,1,1.0,0.0,149.0,139.0,11.0,15.7466056916164,0,20.2419724432655,0.888396662293721,0.786952865808411,1.88346199950647,0.0,11,0.0718390804597701,0.0586383313656041,0.119006849315068,0.154669285782138,0.110323438192291,0.0833333333333333,0.0982142857142857,0.0967741935483871,0.096828385762812,0.104925417220499,0.71551724137931
Tylan Wallace,WR,36630,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,6,23.0,0,0.0,0.0,38.0,14.0,1.0,-2.75271261623129,0,7.25,0.167836105336105,0.137628853392009,0.348094355378564,0.0,4,0.0416666666666667,0.0351851851851852,0.0425531914893617,0.0906481481481481,0.0278787878787879,0.0,0.0238095238095238,0.0212765957446809,0.0139393939393939,0.0223030303030303,0.159722222222222
Ihmir Smith-Marsette,WR,36635,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,6,116.0,2,0.0,0.0,128.0,17.0,4.0,11.404099471285,0,2.86489898989899,0.264069264069264,0.483519911397646,0.734567834082248,0.0,3,0.0731707317073171,0.16060225846926,0.101796407185629,0.238237904336383,0.222648752399232,0.333333333333333,0.210526315789474,0.24,0.277991042866283,0.244785668586052,1.41463414634146
Noah Gray,TE,36637,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,7,10,36.0,1,0.0,0.0,23.0,18.0,2.0,-0.0367059657000937,0,6.7,0.270346978916959,0.100445889318718,0.47583259089854,0.0,7,0.0359712230215827,0.0107728337236534,0.0169014084507042,0.0625751015112968,0.0177777777777778,0.0555555555555556,0.018018018018018,0.0232558139534884,0.0366666666666667,0.0253333333333333,0.129496402877698
Larry Rountree,RB,36650,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,36,87.0,1,0.0,0.0,5.0,-10.2044932351273,0,1,2,-1.0,0,0.0,0.0,-1.0,0.0,0.0,-1.26902811240871,0,1.0,0.0535714285714286,-0.00386100386100386,0.0776544401544402,0.0,8,0.00638977635782748,-0.000473036896877956,0.0,0.00920623501923885,-0.000428449014567267,0.0,0.0,0.0,-0.000214224507283633,-0.000342759211653813,-0.00319488817891374
Racey McMath,WR,36652,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,6,8.0,0,1.0,1.0,67.0,9.0,0.0,-6.96873102773679,0,0.166666666666667,0.200961538461538,0.34388702108944,0.542163222454916,0.0,5,0.0394736842105263,0.0593971631205674,0.0188284518828452,0.106728256812243,0.0077145612343298,0.0,0.0,0.0,0.0038572806171649,0.00617164898746384,0.0526315789473684
